         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
   15.5000    1.3669    0.7796    0.9313   -0.8098   -0.7694    0.0405    0.7554    0.0453    0.0657
   16.0000    1.3791    0.7796    0.9313   -0.8098   -0.7680    0.0418    0.7554    0.0453    0.0657
   16.5000    1.3913    0.7796    0.9313   -0.8098   -0.7667    0.0431    0.7554    0.0453    0.0657
   17.0000    1.4035    0.7796    0.9313   -0.8098   -0.7654    0.0444    0.7554    0.0453    0.0657
   17.5000    1.4157    0.7796    0.9313   -0.8098   -0.7641    0.0457    0.7554    0.0453    0.0657
   18.0000    1.4278    0.7796    0.9313   -0.8098   -0.7628    0.0470    0.7554    0.0453    0.0657
   18.5000    1.4400    0.7796    0.9313   -0.8098   -0.7615    0.0483    0.7554    0.0453    0.0657
   19.0000    1.4522    0.7796    0.9313   -0.8098   -0.7602    0.0496    0.7554    0.0453    0.0657
   19.5000    1.4644    0.7796    0.9313   -0.8098   -0.7589    0.0509    0.7554    0.0453    0.0657
   20.0000    1.4766    0.7796    0.9313   -0.8098   -0.7576    0.0522    0.7554    0.0453    0.0657
   20.5000    1.4887    0.7796    0.9313   -0.8098   -0.7563    0.0536    0.7554    0.0453    0.0657
   21.0000    1.5009    0.7796    0.9313   -0.8098   -0.7550    0.0549    0.7554    0.0453    0.0657
   21.5000    1.5131    0.7796    0.9313   -0.8098   -0.7537    0.0562    0.7554    0.0453    0.0657
   22.0000    1.5253    0.7796    0.9313   -0.8098   -0.7524    0.0575    0.7554    0.0453    0.0657
   22.5000    1.5375    0.7796    0.9313   -0.8098   -0.7511    0.0588    0.7554    0.0453    0.0657
   23.0000    1.5496    0.7796    0.9313   -0.8098   -0.7498    0.0601    0.7554    0.0453    0.0657
   23.5000    1.5618    0.7796    0.9313   -0.8098   -0.7485    0.0614    0.7554    0.0453    0.0657
   24.0000    1.5740    0.7796    0.9313   -0.8098   -0.7472    0.0627    0.7554    0.0453    0.0657
   24.5000    1.5862    0.7796    0.9313   -0.8098   -0.7458    0.0640    0.7554    0.0453    0.0657
   25.0000    1.5983    0.7796    0.9313   -0.8098   -0.7445    0.0653    0.7554    0.0453    0.0657
   25.5000    1.6105    0.7796    0.9313   -0.8098   -0.7432    0.0666    0.7554    0.0453    0.0657
   26.0000    1.6227    0.7796    0.9313   -0.8098   -0.7419    0.0679    0.7554    0.0453    0.0657
   26.5000    1.6349    0.7796    0.9313   -0.8098   -0.7406    0.0692    0.7554    0.0453    0.0657
   27.0000    1.6471    0.7796    0.9313   -0.8098   -0.7393    0.0705    0.7554    0.0453    0.0657
   27.5000    1.6592    0.7796    0.9313   -0.8098   -0.7380    0.0718    0.7554    0.0453    0.0657
   28.0000    1.6714    0.7796    0.9313   -0.8098   -0.7367    0.0731    0.7554    0.0453    0.0657
   28.5000    1.6836    0.7796    0.9313   -0.8098   -0.7354    0.0745    0.7554    0.0453    0.0657
   29.0000    1.6958    0.7796    0.9313   -0.8098   -0.7341    0.0758    0.7554    0.0453    0.0657
   29.5000    1.7080    0.7796    0.9313   -0.8098   -0.7328    0.0771    0.7554    0.0453    0.0657
   30.0000    1.7201    0.7796    0.9313   -0.8098   -0.7315    0.0784    0.7554    0.0453    0.0657
   30.5000    1.7323    0.7796    0.9313   -0.8098   -0.7302    0.0797    0.7554    0.0453    0.0657
   31.0000    1.7445    0.7796    0.9313   -0.8098   -0.7289    0.0810    0.7554    0.0453    0.0657
   31.5000    1.7567    0.7796    0.9313   -0.8098   -0.7276    0.0823    0.7554    0.0453    0.0657
   32.0000    1.7689    0.7796    0.9313   -0.8098   -0.7263    0.0836    0.7554    0.0453    0.0657
   32.5000    1.7810    0.7796    0.9313   -0.8098   -0.7249    0.0849    0.7554    0.0453    0.0657
   33.0000    1.7932    0.7796    0.9313   -0.8098   -0.7236    0.0862    0.7554    0.0453    0.0657
   33.5000    1.8054    0.7796    0.9313   -0.8098   -0.7223    0.0875    0.7554    0.0453    0.0657
   34.0000    1.8176    0.7796    0.9313   -0.8098   -0.7210    0.0888    0.7554    0.0453    0.0657
   34.5000    1.8298    0.7796    0.9313   -0.8098   -0.7197    0.0901    0.7554    0.0453    0.0657
   35.0000    1.8419    0.7796    0.9313   -0.8098   -0.7184    0.0914    0.7554    0.0453    0.0657
   35.5000    1.8541    0.7796    0.9313   -0.8098   -0.7171    0.0927    0.7554    0.0453    0.0657
   36.0000    1.8663    0.7796    0.9313   -0.8098   -0.7158    0.0940    0.7554    0.0453    0.0657
   36.5000    1.8785    0.7796    0.9313   -0.8098   -0.7145    0.0954    0.7554    0.0453    0.0657
   37.0000    1.8907    0.7796    0.9313   -0.8098   -0.7132    0.0967    0.7554    0.0453    0.0657
   37.5000    1.9028    0.7796    0.9313   -0.8098   -0.7119    0.0980    0.7554    0.0453    0.0657
   38.0000    1.9150    0.7796    0.9313   -0.8098   -0.7106    0.0993    0.7554    0.0453    0.0657
   38.5000    1.9272    0.7796    0.9313   -0.8098   -0.7093    0.1006    0.7554    0.0453    0.0657
   39.0000    1.9394    0.7796    0.9313   -0.8098   -0.7080    0.1019    0.7554    0.0453    0.0657
   39.5000    1.9516    0.7796    0.9313   -0.8098   -0.7067    0.1032    0.7554    0.0453    0.0657
   40.0000    1.9637    0.7796    0.9313   -0.8098   -0.7054    0.1045    0.7554    0.0453    0.0657
   40.5000    1.9759    0.7796    0.9313   -0.8098   -0.7040    0.1058    0.7554    0.0453    0.0657
   41.0000    1.9881    0.7796    0.9313   -0.8098   -0.7027    0.1071    0.7554    0.0453    0.0657
   41.5000    2.0003    0.7796    0.9313   -0.8098   -0.7014    0.1084    0.7554    0.0453    0.0657
   42.0000    2.0125    0.7796    0.9313   -0.8098   -0.7001    0.1097    0.7554    0.0453    0.0657
   42.5000    2.0246    0.7796    0.9313   -0.8098   -0.6988    0.1110    0.7554    0.0453    0.0657
   43.0000    2.0368    0.7796    0.9313   -0.8098   -0.6975    0.1123    0.7554    0.0453    0.0657
   43.5000    2.0490    0.7796    0.9313   -0.8098   -0.6962    0.1136    0.7554    0.0453    0.0657
   44.0000    2.0612    0.7796    0.9313   -0.8098   -0.6949    0.1149    0.7554    0.0453    0.0657
   44.5000    2.0734    0.7796    0.9313   -0.8098   -0.6936    0.1163    0.7554    0.0453    0.0657
   45.0000    2.0855    0.7796    0.9313   -0.8098   -0.6923    0.1176    0.7554    0.0453    0.0657
   45.5000    2.0977    0.7796    0.9313   -0.8098   -0.6910    0.1189    0.7554    0.0453    0.0657
   46.0000    2.1099    0.7796    0.9313   -0.8098   -0.6897    0.1202    0.7554    0.0453    0.0657
   46.5000    2.1221    0.7796    0.9313   -0.8098   -0.6884    0.1215    0.7554    0.0453    0.0657
   47.0000    2.1343    0.7796    0.9313   -0.8098   -0.6871    0.1228    0.7554    0.0453    0.0657
   47.5000    2.1464    0.7796    0.9313   -0.8098   -0.6858    0.1241    0.7554    0.0453    0.0657
   48.0000    2.1586    0.7796    0.9313   -0.8098   -0.6845    0.1254    0.7554    0.0453    0.0657
   48.5000    2.1708    0.7796    0.9313   -0.8098   -0.6831    0.1267    0.7554    0.0453    0.0657
   49.0000    2.1830    0.7796    0.9313   -0.8098   -0.6818    0.1280    0.7554    0.0453    0.0657
   49.5000    2.1952    0.7796    0.9313   -0.8098   -0.6805    0.1293    0.7554    0.0453    0.0657
   50.0000    2.2073    0.7796    0.9313   -0.8098   -0.6792    0.1306    0.7554    0.0453    0.0657
   50.5000    2.2195    0.7796    0.9313   -0.8098   -0.6779    0.1319    0.7554    0.0453    0.0657
   51.0000    2.2317    0.7796    0.9313   -0.8098   -0.6766    0.1332    0.7554    0.0453    0.0657
   51.5000    2.2439    0.7796    0.9313   -0.8098   -0.6753    0.1345    0.7554    0.0453    0.0657
   52.0000    2.2561    0.7796    0.9313   -0.8098   -0.6740    0.1358    0.7554    0.0453    0.0657
   52.5000    2.2682    0.7796    0.9313   -0.8098   -0.6727    0.1372    0.7554    0.0453    0.0657
   53.0000    2.2804    0.7796    0.9313   -0.8098   -0.6714    0.1385    0.7554    0.0453    0.0657
   53.5000    2.2926    0.7796    0.9313   -0.8098   -0.6701    0.1398    0.7554    0.0453    0.0657
   54.0000    2.3048    0.7796    0.9313   -0.8098   -0.6688    0.1411    0.7554    0.0453    0.0657
   54.5000    2.3170    0.7796    0.9313   -0.8098   -0.6675    0.1424    0.7554    0.0453    0.0657
   55.0000    2.3291    0.7796    0.9313   -0.8098   -0.6662    0.1437    0.7554    0.0453    0.0657
   55.5000    2.3413    0.7796    0.9313   -0.8098   -0.6649    0.1450    0.7554    0.0453    0.0657
   56.0000    2.3535    0.7796    0.9313   -0.8098   -0.6636    0.1463    0.7554    0.0453    0.0657
   56.5000    2.3657    0.7796    0.9313   -0.8098   -0.6622    0.1476    0.7554    0.0453    0.0657
   57.0000    2.3779    0.7796    0.9313   -0.8098   -0.6609    0.1489    0.7554    0.0453    0.0657
   57.5000    2.3900    0.7796    0.9313   -0.8098   -0.6596    0.1502    0.7554    0.0453    0.0657
   58.0000    2.4022    0.7796    0.9313   -0.8098   -0.6583    0.1515    0.7554    0.0453    0.0657
   58.5000    2.4144    0.7796    0.9313   -0.8098   -0.6570    0.1528    0.7554    0.0453    0.0657
   59.0000    2.4266    0.7796    0.9313   -0.8098   -0.6557    0.1541    0.7554    0.0453    0.0657
   59.5000    2.4387    0.7796    0.9313   -0.8098   -0.6544    0.1554    0.7554    0.0453    0.0657
   60.0000    2.4509    0.7796    0.9313   -0.8098   -0.6531    0.1567    0.7554    0.0453    0.0657
   60.5000    2.4631    0.7796    0.9313   -0.8098   -0.6518    0.1581    0.7554    0.0453    0.0657
   61.0000    2.4753    0.7796    0.9313   -0.8098   -0.6505    0.1594    0.7554    0.0453    0.0657
   61.5000    2.4875    0.7796    0.9313   -0.8098   -0.6492    0.1607    0.7554    0.0453    0.0657
   62.0000    2.4996    0.7796    0.9313   -0.8098   -0.6479    0.1620    0.7554    0.0453    0.0657
   62.5000    2.5118    0.7796    0.9313   -0.8098   -0.6466    0.1633    0.7554    0.0453    0.0657
   63.0000    2.5240    0.7796    0.9313   -0.8098   -0.6453    0.1646    0.7554    0.0453    0.0657
   63.5000    2.5362    0.7796    0.9313   -0.8098   -0.6440    0.1659    0.7554    0.0453    0.0657
   64.0000    2.5484    0.7796    0.9313   -0.8098   -0.6427    0.1672    0.7554    0.0453    0.0657
   64.5000    2.5605    0.7796    0.9313   -0.8098   -0.6413    0.1685    0.7554    0.0453    0.0657
   65.0000    2.5727    0.7796    0.9313   -0.8098   -0.6400    0.1698    0.7554    0.0453    0.0657
   65.5000    2.5849    0.7796    0.9313   -0.8098   -0.6387    0.1711    0.7554    0.0453    0.0657
   66.0000    2.5971    0.7796    0.9313   -0.8098   -0.6374    0.1724    0.7554    0.0453    0.0657
   66.5000    2.6093    0.7796    0.9313   -0.8098   -0.6361    0.1737    0.7554    0.0453    0.0657
   67.0000    2.6214    0.7796    0.9313   -0.8098   -0.6348    0.1750    0.7554    0.0453    0.0657
   67.5000    2.6336    0.7796    0.9313   -0.8098   -0.6335    0.1763    0.7554    0.0453    0.0657
   68.0000    2.6458    0.7796    0.9313   -0.8098   -0.6322    0.1776    0.7554    0.0453    0.0657
   68.5000    2.6580    0.7796    0.9313   -0.8098   -0.6309    0.1790    0.7554    0.0453    0.0657
   69.0000    2.6702    0.7796    0.9313   -0.8098   -0.6296    0.1803    0.7554    0.0453    0.0657
   69.5000    2.6823    0.7796    0.9313   -0.8098   -0.6283    0.1816    0.7554    0.0453    0.0657
   70.0000    2.6945    0.7796    0.9313   -0.8098   -0.6270    0.1829    0.7554    0.0453    0.0657
   70.5000    2.7067    0.7796    0.9313   -0.8098   -0.6257    0.1842    0.7554    0.0453    0.0657
   71.0000    2.7189    0.7796    0.9313   -0.8098   -0.6244    0.1855    0.7554    0.0453    0.0657
   71.5000    2.7311    0.7796    0.9313   -0.8098   -0.6231    0.1868    0.7554    0.0453    0.0657
   72.0000    2.7432    0.7796    0.9313   -0.8098   -0.6218    0.1881    0.7554    0.0453    0.0657
   72.5000    2.7554    0.7796    0.9313   -0.8098   -0.6204    0.1894    0.7554    0.0453    0.0657
   73.0000    2.7676    0.7796    0.9313   -0.8098   -0.6191    0.1907    0.7554    0.0453    0.0657
   73.5000    2.7798    0.7796    0.9313   -0.8098   -0.6178    0.1920    0.7554    0.0453    0.0657
   74.0000    2.7920    0.7796    0.9313   -0.8098   -0.6165    0.1933    0.7554    0.0453    0.0657
   74.5000    2.8041    0.7796    0.9313   -0.8098   -0.6152    0.1946    0.7554    0.0453    0.0657
   75.0000    2.8163    0.7796    0.9313   -0.8098   -0.6139    0.1959    0.7554    0.0453    0.0657
   75.5000    2.8285    0.7796    0.9313   -0.8098   -0.6126    0.1972    0.7554    0.0453    0.0657
   76.0000    2.8407    0.7796    0.9313   -0.8098   -0.6113    0.1985    0.7554    0.0453    0.0657
   76.5000    2.8529    0.7796    0.9313   -0.8098   -0.6100    0.1998    0.7554    0.0453    0.0657
   77.0000    2.8650    0.7796    0.9313   -0.8098   -0.6087    0.2012    0.7554    0.0453    0.0657
   77.5000    2.8772    0.7796    0.9313   -0.8098   -0.6074    0.2025    0.7554    0.0453    0.0657
   78.0000    2.8894    0.7796    0.9313   -0.8098   -0.6061    0.2038    0.7554    0.0453    0.0657
   78.5000    2.9016    0.7796    0.9313   -0.8098   -0.6048    0.2051    0.7554    0.0453    0.0657
   79.0000    2.9138    0.7796    0.9313   -0.8098   -0.6035    0.2064    0.7554    0.0453    0.0657
   79.5000    2.9259    0.7796    0.9313   -0.8098   -0.6022    0.2077    0.7554    0.0453    0.0657
   80.0000    2.9381    0.7796    0.9313   -0.8098   -0.6009    0.2090    0.7554    0.0453    0.0657
   80.5000    2.9503    0.7796    0.9313   -0.8098   -0.5995    0.2103    0.7554    0.0453    0.0657
   81.0000    2.9625    0.7796    0.9313   -0.8098   -0.5982    0.2116    0.7554    0.0453    0.0657
   81.5000    2.9747    0.7796    0.9313   -0.8098   -0.5969    0.2129    0.7554    0.0453    0.0657
   82.0000    2.9868    0.7796    0.9313   -0.8098   -0.5956    0.2142    0.7554    0.0453    0.0657
   82.5000    2.9990    0.7796    0.9313   -0.8098   -0.5943    0.2155    0.7554    0.0453    0.0657
   83.0000    3.0112    0.7796    0.9313   -0.8098   -0.5930    0.2168    0.7554    0.0453    0.0657
   83.5000    3.0234    0.7796    0.9313   -0.8098   -0.5917    0.2181    0.7554    0.0453    0.0657
   84.0000    3.0356    0.7796    0.9313   -0.8098   -0.5904    0.2194    0.7554    0.0453    0.0657
   84.5000    3.0477    0.7796    0.9313   -0.8098   -0.5891    0.2207    0.7554    0.0453    0.0657
   85.0000    3.0599    0.7796    0.9313   -0.8098   -0.5878    0.2221    0.7554    0.0453    0.0657
   85.5000    3.0721    0.7796    0.9313   -0.8098   -0.5865    0.2234    0.7554    0.0453    0.0657
   86.0000    3.0843    0.7796    0.9313   -0.8098   -0.5852    0.2247    0.7554    0.0453    0.0657
   86.5000    3.0965    0.7796    0.9313   -0.8098   -0.5839    0.2260    0.7554    0.0453    0.0657
   87.0000    3.1086    0.7796    0.9313   -0.8098   -0.5826    0.2273    0.7554    0.0453    0.0657
   87.5000    3.1208    0.7796    0.9313   -0.8098   -0.5813    0.2286    0.7554    0.0453    0.0657
   88.0000    3.1330    0.7796    0.9313   -0.8098   -0.5800    0.2299    0.7554    0.0453    0.0657
   88.5000    3.1452    0.7796    0.9313   -0.8098   -0.5786    0.2312    0.7554    0.0453    0.0657
   89.0000    3.1574    0.7796    0.9313   -0.8098   -0.5773    0.2325    0.7554    0.0453    0.0657
   89.5000    3.1695    0.7796    0.9313   -0.8098   -0.5760    0.2338    0.7554    0.0453    0.0657
   90.0000    3.1817    0.7796    0.9313   -0.8098   -0.5747    0.2351    0.7554    0.0453    0.0657
   90.5000    3.1939    0.7796    0.9313   -0.8098   -0.5734    0.2364    0.7554    0.0453    0.0657
   91.0000    3.2061    0.7796    0.9313   -0.8098   -0.5721    0.2377    0.7554    0.0453    0.0657
   91.5000    3.2183    0.7796    0.9313   -0.8098   -0.5708    0.2390    0.7554    0.0453    0.0657
   92.0000    3.2304    0.7796    0.9313   -0.8098   -0.5695    0.2403    0.7554    0.0453    0.0657
   92.5000    3.2426    0.7796    0.9313   -0.8098   -0.5682    0.2416    0.7554    0.0453    0.0657
   93.0000    3.2548    0.7796    0.9313   -0.8098   -0.5669    0.2430    0.7554    0.0453    0.0657
   93.5000    3.2670    0.7796    0.9313   -0.8098   -0.5656    0.2443    0.7554    0.0453    0.0657
   94.0000    3.2791    0.7796    0.9313   -0.8098   -0.5643    0.2456    0.7554    0.0453    0.0657
   94.5000    3.2913    0.7796    0.9313   -0.8098   -0.5630    0.2469    0.7554    0.0453    0.0657
   95.0000    3.3035    0.7796    0.9313   -0.8098   -0.5617    0.2482    0.7554    0.0453    0.0657
   95.5000    3.3157    0.7796    0.9313   -0.8098   -0.5604    0.2495    0.7554    0.0453    0.0657
   96.0000    3.3279    0.7796    0.9313   -0.8098   -0.5591    0.2508    0.7554    0.0453    0.0657
   96.5000    3.3400    0.7796    0.9313   -0.8098   -0.5578    0.2521    0.7554    0.0453    0.0657
   97.0000    3.3522    0.7796    0.9313   -0.8098   -0.5564    0.2534    0.7554    0.0453    0.0657
   97.5000    3.3644    0.7796    0.9313   -0.8098   -0.5551    0.2547    0.7554    0.0453    0.0657
   98.0000    3.3766    0.7796    0.9313   -0.8098   -0.5538    0.2560    0.7554    0.0453    0.0657
   98.5000    3.3888    0.7796    0.9313   -0.8098   -0.5525    0.2573    0.7554    0.0453    0.0657
   99.0000    3.4009    0.7796    0.9313   -0.8098   -0.5512    0.2586    0.7554    0.0453    0.0657
   99.5000    3.4131    0.7796    0.9313   -0.8098   -0.5499    0.2599    0.7554    0.0453    0.0657
  100.0000    1.0000    0.7796    0.9313   -0.8098   -0.8098    0.0000    0.7554    0.0453    0.0657
